Cell_Index,Concentration
862,84.71452033
863,87.55495878
864,87.8421
865,87.72178554
866,87.41892069
867,87.02451172
868,86.39037705
869,84.93762117
870,83.83790014
871,84.20531944
872,84.57665994
873,84.64529178
874,84.46395592
875,84.26107857
876,85.61277171
877,86.23108717
878,86.1167834
879,86.11444031
880,86.10411447
881,85.57526305
882,84.94093971
883,85.20795263
884,85.3623465
885,85.28297466
886,87.00326272
887,86.82073976
888,85.3974354
889,85.46075155
890,85.73710309
891,85.64845925
892,85.5582398
893,84.97392097
894,84.90767522
895,84.83142567
896,84.64670847
897,83.88744022
898,83.99278445
899,85.94445885
900,86.61122002
901,86.98699435
902,87.11030274
903,86.2136291
904,85.22916327
905,85.59657568
906,85.63531159
907,86.05479743
908,86.52348915
909,86.67025224
910,85.93447483
911,85.45357656
912,85.38982185
913,85.20394555
914,84.71598252
915,84.24747176
916,84.38089562
917,84.85578631
918,85.29168316
919,84.09183184
920,83.4418282
921,83.21507688
922,82.96160785
923,83.0225406
924,84.14702102
925,84.45545417
926,83.45272595
927,83.5831069
928,83.94978832
929,83.88085467
930,83.41449606
931,83.2596742
932,83.19075368
933,84.21600502
934,83.34943262
935,82.00617644
936,81.18819067
937,81.26696669
938,81.01344036
939,81.4663273
940,81.77009677
941,82.04843475
942,82.1469655
943,81.40284686
944,81.28810247
945,81.16757577
946,81.06953718
947,80.98065461
948,80.8948048
949,80.76376263
950,80.27447916
951,80.25942
952,80.25942
953,80.25942
954,80.25942
955,80.25942
956,80.11096995
957,79.8592
958,79.88913179
959,79.96387472
960,80.07743142
961,80.16997672
962,80.12349404
963,79.90052677
964,80.04346288
965,80.19301158
966,80.33416867
967,80.48549639
968,80.62576971
969,80.64547981
970,80.61649857
971,80.70623844
972,80.78740312
973,80.88536802
974,80.97061357
975,81.06906061
976,80.62189098
977,80.58048735
978,80.56512824
979,80.56069201
980,80.5612025
981,80.54754558
982,80.50722758
983,80.049378
984,79.52644236
985,78.984546
986,78.50679566
987,78.43380987
988,78.86286231
989,79.5356484
990,79.80011659
991,79.945649
992,80.08072277
993,80.21329538
994,80.35054531
995,80.72726692
996,81.58960245
997,81.43507154
998,81.65095622
999,81.88080118
1000,82.11218491
1001,82.34420514
1002,82.47568747
1003,82.34125998
1004,82.2680218
1005,82.1505939
1006,82.47890177
1007,82.80648747
1008,83.11195601
1009,83.39588082
1010,83.46606683
1011,83.47846331
1012,83.58328246
1013,83.56403297
1014,83.41384477
1015,83.26483915
1016,82.92045138
1017,82.55565904
1018,82.53849077
1019,82.80010354
1020,82.80822122
1021,82.73087054
1022,82.7226639
1023,82.81897053
1024,83.1333466
1025,83.29150074
1026,83.28155019
1027,83.26230825
1028,83.25099665
1029,83.29014841
1030,83.25247477
1031,83.23379865
1032,83.17812816
1033,83.14194815
1034,83.12806902
1035,83.08630264
1036,83.08941413
1037,83.08390317
1038,83.11694945
1039,83.17247219
1040,83.09849674
1041,83.05156668
1042,83.03280385
1043,82.97811222
1044,82.92810919
1045,82.84774
1046,82.76779972
1047,82.79181814
1048,82.78201676
1049,82.66154378
1050,82.64250339
1051,82.64336548
1052,82.58996304
1053,82.58075134
1054,82.60708698
1055,82.57842169
1056,82.48069127
1057,82.48599014
1058,82.48456392
1059,82.35058659
1060,82.34567182
1061,82.3386749
1062,14.97941875
1063,14.95911836
1064,14.91364596
1065,14.87416835
1066,14.83921883
1067,14.75043871
1068,14.63327552
1069,14.51925195
1070,14.41190628
1071,14.44307544
1072,14.4591531
1073,14.44121649
1074,14.26123712
1075,14.22192829
1076,14.20608876
1077,14.09080039
1078,13.98750419
1079,13.93720857
1080,13.9446439
1081,13.9857625
1082,13.95094534
1083,13.99587157
1084,13.98093678
1085,14.01187046
1086,14.00922076
1087,13.91958647
1088,13.89909693
1089,13.85957555
1090,13.87785085
1091,13.82557404
1092,13.71825065
1093,13.68679073
1094,13.69296377
1095,13.77605921
1096,13.7326457
1097,13.65712013
1098,13.56112277
1099,13.40343332
1100,13.2610735
1101,13.27811914
1102,13.33747685
1103,13.33991134
1104,13.34513306
1105,13.30736972
1106,13.1923716
1107,13.07382362
1108,13.06834496
1109,13.08886121
1110,13.08206502
1111,13.07511544
1112,13.01642449
1113,12.97781432
1114,13.05864368
1115,13.09586405
1116,13.05327859
1117,13.0501242
1118,13.04954501
1119,13.04633127
1120,13.03956048
1121,13.00761319
1122,12.70105403
1123,12.69831621
1124,12.6877147
1125,12.67768745
1126,12.67016814
1127,12.65663722
1128,12.54465479
1129,12.31180823
1130,12.30069
1131,12.2828745
1132,12.26109321
1133,12.2667343
1134,12.35056722
1135,12.24117526
1136,12.14495288
1137,12.1286904
1138,12.06639336
1139,11.90936395
1140,11.92256132
1141,12.03335945
1142,12.02642473
1143,12.03050536
1144,11.95768229
1145,11.89213316
1146,11.86140247
1147,11.87179213
1148,11.90992061
1149,11.84029859
1150,11.80773567
1151,11.77623321
1152,11.81772013
1153,11.7567473
1154,11.67679025
1155,11.5342776
1156,11.54548608
1157,11.60564726
1158,11.5352585
1159,11.45700101
1160,11.47802997
1161,11.49039041
1162,11.39317493
1163,11.36728424
1164,11.32071304
1165,11.24735189
1166,11.28560891
1167,11.36252592
1168,11.42668613
1169,11.51834952
1170,11.53316594
1171,11.52509913
1172,11.53835457
1173,11.48584623
1174,11.46882566
1175,11.40383112
1176,11.43765975
1177,11.458152
1178,11.3846414
1179,11.35678342
1180,11.35540684
1181,11.32311502
1182,11.174738
1183,11.174738
1184,11.17391961
1185,11.16482966
1186,11.1531265
1187,11.15601749
1188,10.85039706
1189,10.72571965
1190,10.72365571
1191,10.66458322
1192,10.57728438
1193,10.56168924
1194,10.53877384
1195,10.43293103
1196,10.42792338
1197,10.38521394
1198,10.34920101
1199,10.32570866
1200,10.2721495
1201,10.24354815
1202,10.2096232
1203,10.22231222
1204,10.16952987
1205,10.17874461
1206,10.12972434
1207,10.10620567
1208,10.06256736
1209,10.01650966
1210,10.01754872
1211,9.972066064
1212,9.910421258
1213,9.911362
1214,9.905260264
1215,9.846025456
1216,9.821978341
1217,9.794539569
1218,9.726002222
1219,9.704040842
1220,12.66657592
1221,152.5708172
1222,307.6268519
1223,319.1948809
1224,317.5429573
1225,319.9551434
1226,317.5124747
1227,332.8474834
1228,337.0439331
1229,338.6907854
1230,340.0114349
1231,339.7946368
1232,328.0890168
1233,290.6099929
1234,276.5407608
1235,272.6331947
1236,271.4745844
1237,278.7995848
1238,285.042947
1239,286.8042121
1240,286.9162954
1241,280.3617943
1242,261.16244
1243,252.8894018
1244,249.6683965
1245,257.1429913
1246,253.0352078
1247,240.0244015
1248,244.1254992
1249,256.1685556
1250,259.7628128
1251,268.5301712
1252,275.6279423
1253,274.404953
1254,268.9495541
1255,265.0490899
1256,264.7304538
1257,267.8935553
1258,263.4256207
1259,262.311248
1260,263.0764965
1261,261.6638702
1262,259.1412237
1263,258.1840858
1264,259.0745658
1265,257.933457
1266,253.7841428
1267,245.8621232
1268,244.1751986
1269,244.9953176
1270,247.2353959
1271,250.4822326
1272,247.9823537
1273,244.0951412
1274,243.1692746
1275,242.8621203
1276,243.6242908
1277,245.3690483
1278,245.2383543
1279,242.0993646
1280,238.2829056
1281,220.8977996
1282,211.4817296
1283,200.5488587
1284,196.9568322
1285,203.2019746
1286,204.5771783
1287,202.8858969
1288,201.7105521
1289,198.828825
1290,189.5490205
1291,167.8339314
1292,162.8905869
1293,160.5396184
1294,161.5267983
1295,163.7753929
1296,178.5375804
1297,178.6469294
1298,162.2865193
1299,150.4899314
1300,150.0660332
1301,155.2469248
1302,157.267905
1303,159.0619806
1304,160.876329
1305,159.6810537
1306,156.0416685
1307,156.1522612
1308,155.8535405
1309,155.6466149
1310,153.2516086
1311,147.80978
1312,147.80978
1313,144.862596
1314,145.7837013
1315,145.8153092
1316,145.4770414
1317,146.9932639
1318,146.9275101
1319,147.0057379
1320,146.8517845
1321,145.4653598
1322,145.4306404
1323,145.3791329
1324,144.6860762
1325,142.476575
1326,142.1857583
1327,141.5770883
1328,138.9692196
1329,138.4515639
1330,137.9476652
1331,137.4354047
1332,137.0337257
1333,136.99948
1334,135.737067
1335,135.37234
1336,135.37234
1337,135.37234
1338,135.37234
1339,135.37234
1340,134.8869651
1341,133.6329
1342,133.6329
1343,133.6329
1344,132.6413816
1345,132.49786
1346,132.49786
1347,130.7814326
1348,129.3343
1349,129.3343
1350,129.1291437
1351,125.19835
1352,125.19835
1353,125.19835
1354,122.3146265
1355,121.1655031
1356,121.4710925
1357,119.7723783
1358,118.8920538
1359,118.940634
1360,118.7569299
1361,117.6685184
1362,117.7061647
1363,117.7230914
1364,116.7037363
1365,117.0166522
1366,116.994279
1367,116.4450675
1368,116.0527755
1369,115.7349009
1370,115.5466145
1371,115.67867
1372,115.674864
1373,115.525234
1374,115.4578809
1375,114.04636
1376,114.04636
1377,112.1693063
1378,112.119156
1379,110.9943849
1380,110.8348476
1381,110.4870484
1382,110.2517097
1383,110.00384
1384,107.531533
1385,107.6363968
1386,107.8968757
1387,107.9415194
1388,108.2540579
1389,108.9981516
1390,109.1493878
1391,109.1638935
1392,109.1851386
1393,109.1748482
1394,108.9186094
1395,109.3156119
1396,108.9519526
1397,107.5796151
1398,107.1311608
1399,106.8249703
1400,105.8827469
1401,104.9789487
1402,105.6119915
1403,106.2898104
1404,106.6932672
1405,106.831921
1406,106.9796398
1407,107.2335916
1408,107.2986011
1409,107.2489841
1410,107.1683245
1411,106.6334708
1412,106.0400398
1413,105.427696
1414,105.0176902
1415,104.7254055
1416,104.4195035
1417,104.6215351
1418,104.76437
1419,104.76437
1420,104.771881
1421,104.780365
1422,104.7099004
1423,104.4391939
1424,104.0488005
1425,103.8557841
1426,103.667312
1427,103.1657233
1428,102.2607237
1429,102.4298491
1430,103.7264417
1431,104.2225305
1432,104.23962
1433,104.1769987
1434,104.12464
1435,104.1007293
1436,104.1199574
1437,103.7034521
1438,103.667755
1439,103.667755
1440,103.2330729
1441,102.82316
1442,102.82316
1443,102.5891712
1444,102.275566
1445,102.275566
1446,102.1796077
1447,101.6571047
1448,101.9877491
1449,102.324683
1450,100.9037265
1451,100.1405242
1452,99.91556049
1453,99.73326727
1454,98.25046467
1455,98.65456824
1456,98.60817988
1457,97.42311049
1458,97.35691234
1459,97.37995158
1460,97.30787828
1461,97.31443
1462,97.31443
1463,97.32356384
1464,97.56523
1465,97.56523
1466,97.0199165
1467,96.00501359
1468,95.748973
1469,95.55493499
1470,95.12832342
1471,95.50548785
1472,96.14339637
1473,96.59897099
1474,96.22976882
1475,96.227974
1476,96.19232934
1477,96.10468473
1478,96.0112246
1479,95.92400348
1480,95.65277339
1481,94.34858112
1482,94.13362589
1483,93.91686084
1484,93.70655424
1485,93.52605817
1486,93.36803473
1487,93.02045473
1488,92.49122019
1489,92.51347444
1490,92.53822186
1491,92.55755114
1492,92.59690484
1493,92.50065537
1494,92.27705057
1495,92.4743919
1496,92.67650043
1497,92.87751819
1498,93.07784435
1499,93.27817051
1500,93.27588107
1501,93.04517
1502,93.04517
1503,93.04517
1504,93.04517
1505,93.04517
1506,93.04517
1507,92.56276735
1508,92.47623392
1509,92.41657722
1510,92.34608444
1511,92.27025876
1512,92.19991377
1513,91.99284414
1514,91.22029124
1515,90.75245874
1516,90.28719674
1517,89.79675216
1518,89.67115414
1519,90.10757905
1520,90.45397022
1521,90.3309606
1522,90.42637458
1523,90.53437784
1524,90.63188162
1525,90.74388089
1526,90.69384814
1527,89.8696136
1528,89.69359439
1529,89.97142259
1530,90.32873815
1531,90.65497903
1532,90.72464
1533,90.57826376
1534,90.23645
1535,90.23645
1536,90.23645
1537,90.01204867
1538,89.93137
1539,89.93124333
1540,89.82340879
1541,89.60166838
1542,89.59598087
1543,89.50885063
1544,89.237505
1545,89.25802771
1546,89.27709636
1547,88.98746003
1548,88.98259
1549,88.98259
1550,88.79262922
1551,88.65596
1552,88.65596
1553,88.56065171
1554,88.42056
1555,88.21626493
1556,88.05665
1557,88.05665
1558,88.03934847
1559,87.8152
1560,87.8152
1561,87.66406879
1562,87.60473
1563,87.49672623
1564,87.415375
1565,87.31093313
1566,87.20517215
1567,87.10543251
1568,87.00040747
1569,86.94817125
1570,86.65408455
1571,86.66149048
1572,86.65562619
1573,86.31344727
1574,86.22709621
1575,86.23202732
1576,86.09901286
1577,85.95779828
1578,85.94628348
1579,85.84125991
1580,85.6152442
1581,85.62311316
1582,85.62092957
1583,85.35400129
1584,85.19991559
1585,85.19445251
1586,85.08990268
1587,84.86204471
1588,84.8615317
1589,84.82427302
1590,84.58095538
1591,84.58289107
1592,84.586321
1593,2.155161113
1594,2.14397261
1595,2.109536919
1596,2.103380512
1597,2.103360304
1598,2.514367999
1599,3.096064901
1600,3.095165369
1601,3.382341904
1602,3.588550831
1603,4.072796225
1604,4.109350134
1605,3.656674827
1606,3.61424945
1607,4.462957312
1608,11.53687078
1609,11.38148691
1610,10.94255708
1611,10.69877116
1612,10.80046471
1613,12.29705051
1614,12.23999571
1615,12.58455006
1616,12.66769229
1617,12.38699018
1618,12.16565031
1619,12.07937054
1620,11.55452531
1621,11.46657353
1622,11.77163289
1623,12.42751882
1624,12.52163563
1625,12.52835645
1626,12.3184981
1627,12.11890658
1628,12.25150613
1629,12.17874782
1630,12.1737754
1631,12.55997621
1632,12.39983718
1633,11.81520091
1634,11.65931925
1635,11.50055562
1636,11.13159534
1637,11.12587064
1638,11.23094295
1639,11.00291658
1640,10.86803326
1641,10.88498752
1642,10.87409269
1643,10.90366088
1644,11.02636314
1645,10.93584441
1646,10.778233
1647,10.78971899
1648,10.81993528
1649,10.85230374
1650,10.88920977
1651,10.92624176
1652,10.83020343
1653,10.65252424
1654,10.64025658
1655,10.62822825
1656,10.61933104
1657,10.60913134
1658,10.60044833
1659,10.55496862
1660,10.55591482
1661,10.54623756
1662,10.5371717
1663,10.53223104
1664,10.48007606
1665,10.38082962
1666,10.27392581
1667,10.27000885
1668,10.26980263
1669,10.26993913
1670,10.39337876
1671,10.39287877
1672,10.25140018
1673,10.20733828
1674,10.22697003
1675,10.34786412
1676,10.47432364
1677,10.50589085
1678,10.47145327
1679,10.42044771
1680,10.45404892
1681,10.43878952
1682,10.34936345
