Cell_Index,Ecoli_cfu/100ml
300,1668.776938
301,1669.267544
302,1669.317236
303,1670.04488
304,1670.165759
305,1669.412558
306,1669.206439
307,1669.170126
308,1669.171729
309,1669.116163
310,1668.32803
311,1666.975908
312,1666.777807
313,1665.880508
314,1665.979035
315,1664.061754
316,1664.008635
317,1663.179869
318,1663.573164
319,1663.483588
320,1662.917916
321,1662.27561
322,1658.349057
323,1658.750094
324,1659.212442
325,1656.895903
326,1654.300219
327,1655.554505
328,1655.622129
329,1655.590984
330,1655.569138
331,1655.211497
332,1653.214035
333,1653.83152
334,1653.446971
335,1649.4995
336,1648.309748
337,1647.754768
338,1642.88636
339,1636.194648
340,1636.816985
341,1637.5159
342,1637.748884
343,1637.669041
344,1637.594169
345,1633.856291
346,1631.650967
347,1631.544453
348,1630.187186
349,1625.143799
350,1624.677066
351,1624.124314
352,1619.416592
353,1617.953747
354,1617.771187
355,1612.476075
356,1609.567382
357,1609.286105
358,1605.744136
359,1600.344109
360,1600.341263
361,1600.336767
362,1589.674891
363,1589.6128
364,1589.6128
365,1583.211837
366,1579.5737
367,1579.5737
368,1572.992465
369,1567.788124
370,1567.653394
371,1560.237639
372,1553.231416
373,1553.446124
374,1553.33854
375,1535.884869
376,1534.775718
377,1534.682624
378,1527.2246
379,1518.630611
380,1518.76849
381,1512.424714
382,1502.022922
383,1502.04501
384,1499.573841
385,1481.678974
386,1480.500469
387,1479.572872
388,1464.017553
389,1455.939954
390,1456.607667
391,1454.784349
392,1430.447308
393,1428.103646
394,1427.754587
395,1402.020476
396,1396.675391
397,1395.980472
398,1382.894853
399,1361.428414
400,1362.617115
401,1363.234836
402,1314.892074
403,1319.264281
404,1323.819082
405,1307.78074
406,1290.8198
407,1290.804216
408,1267.167116
409,1256.776106
410,1256.7786
411,1240.994296
412,1170.224254
413,1171.380994
414,1172.225688
415,1172.257
416,1172.257
417,1172.257
418,1164.344984
419,1094.76261
420,1094.659988
421,1094.517692
422,1094.383388
423,1094.35092
424,1094.328452
425,1070.111931
426,1019.937846
427,1020.179392
428,1020.1973
429,1020.1973
430,1020.1973
431,990.5086959
432,932.0433
433,932.0433
434,932.0433
435,932.0433
436,932.0433
437,932.0433
438,892.9114968
439,845.6342667
440,845.355489
441,845.0769762
442,844.7975533
443,844.4922911
444,844.3918224
445,761.5397811
446,752.7600965
447,752.8428
448,752.8428
449,752.8428
450,752.8428
451,731.2710038
452,664.8095
453,664.8095
454,664.8095
455,664.637994
456,664.1266778
457,664.8095
458,633.4538502
459,591.3121
460,591.3121
461,591.3121
462,591.3121
463,591.3121
464,577.5616552
465,516.5962
466,516.5962
467,516.5962
468,516.5962
469,516.4523012
470,514.3449919
471,500.4101263
472,478.4143098
473,479.0418313
474,479.7605431
475,450.7669187
476,441.9032976
477,438.1252478
478,423.5753714
479,405.0157131
480,404.7644757
481,396.5117297
