   M    BELSURF     ASURFEL        VOLSEL
 182   123.68900    0.5316E+07    0.1065E+08
 183   123.69200    0.5347E+07    0.1067E+08
 184   123.71300    0.5409E+07    0.1078E+08
 185   123.72600    0.5434E+07    0.1085E+08
 186   123.73200    0.5458E+07    0.1088E+08
 187   123.73500    0.5465E+07    0.1090E+08
 188   123.74600    0.5509E+07    0.1096E+08
 189   123.75200    0.5548E+07    0.1099E+08
 190   123.77900    0.5576E+07    0.1114E+08
 191   123.78300    0.5582E+07    0.1117E+08
 192   123.78400    0.5599E+07    0.1117E+08
 193   123.79100    0.5634E+07    0.1121E+08
 194   123.80500    0.5662E+07    0.1129E+08
 195   123.81500    0.5705E+07    0.1135E+08
 196   123.82300    0.5724E+07    0.1139E+08
 197   123.82800    0.5751E+07    0.1142E+08
 198   123.89600    0.5781E+07    0.1181E+08
 199   123.91800    0.5800E+07    0.1194E+08
 200   123.93200    0.5835E+07    0.1202E+08
 201   123.94000    0.5864E+07    0.1207E+08
 202   123.95700    0.5883E+07    0.1217E+08
 203   123.95700    0.5899E+07    0.1217E+08
 204   123.96800    0.5914E+07    0.1223E+08
 205   123.99900    0.5927E+07    0.1242E+08
 206   124.01200    0.5952E+07    0.1250E+08
 207   124.01800    0.5985E+07    0.1253E+08
 208   124.02000    0.6007E+07    0.1254E+08
 209   124.04300    0.6048E+07    0.1268E+08
 210   124.06100    0.6078E+07    0.1279E+08
 211   124.06500    0.6101E+07    0.1282E+08
 212   124.07500    0.6131E+07    0.1288E+08
 213   124.08400    0.6156E+07    0.1293E+08
 214   124.11100    0.6167E+07    0.1310E+08
 215   124.11700    0.6192E+07    0.1314E+08
 216   124.11900    0.6214E+07    0.1315E+08
 217   124.12000    0.6245E+07    0.1315E+08
 218   124.14600    0.6307E+07    0.1332E+08
 219   124.17100    0.6358E+07    0.1348E+08
 220   124.19700    0.6403E+07    0.1364E+08
 221   124.21100    0.6451E+07    0.1373E+08
 222   124.21700    0.6485E+07    0.1377E+08
 223   124.24300    0.6505E+07    0.1394E+08
 224   124.26000    0.6534E+07    0.1405E+08
 225   124.30300    0.6585E+07    0.1433E+08
 226   124.31900    0.6625E+07    0.1444E+08
 227   124.33200    0.6669E+07    0.1452E+08
 228   124.33200    0.6693E+07    0.1452E+08
 229   124.34600    0.6741E+07    0.1462E+08
 230   124.34900    0.6748E+07    0.1464E+08
 231   124.39700    0.6776E+07    0.1496E+08
 232   124.40300    0.6829E+07    0.1500E+08
 233   124.42400    0.6873E+07    0.1515E+08
 234   124.43900    0.6918E+07    0.1525E+08
 235   124.46100    0.6944E+07    0.1540E+08
 236   124.46600    0.6989E+07    0.1544E+08
 237   124.47600    0.7042E+07    0.1551E+08
 238   124.48200    0.7065E+07    0.1555E+08
 239   124.48300    0.7072E+07    0.1556E+08
 240   124.50600    0.7095E+07    0.1572E+08
 241   124.51600    0.7111E+07    0.1579E+08
 242   124.52100    0.7134E+07    0.1583E+08
 243   124.53700    0.7149E+07    0.1594E+08
